,-3sigma,-2sigma,-1sigma,median,1sigma,2sigma,3sigma,best fit
a,-13.407327438687275,-10.938997566116711,-6.215439028678986,336.27429474386105,7.555255434128014,14.77707618473761,20.30841697468378,339.9768678812898
b,-17.518953786905513,-13.634056924127151,-6.955105917943456,325.2026009851718,5.161001476226545,9.362395528783793,11.950443964270164,326.86735019396684
c,-30.612380777514375,-22.343792129260237,-11.460823899219577,296.26551068578004,10.838577929692633,20.44265576768248,25.784635203980883,297.19622460735815
ra,-4.004426783743096,-2.987572918807331,-1.4679288921377918,20.61227522433831,1.4608671760447791,2.8891969851437516,3.9442229857403923,20.255321619946375
dec,-0.8324393759837179,-0.6216272030856018,-0.308501252985252,46.27312597537432,0.31922580540501855,0.6192995680331776,0.8374705415397514,46.40527541125054
phi,-197.676191283256,-187.63282089585297,-145.83259903767544,199.0090537559642,75.08586861920554,153.31339806090762,159.8183066251961,231.44104049194038
f,-9.519866717421364,-6.952774237202037,-3.6193784048115063,11.383381261437613,3.834175855823508,7.7672176893544105,10.27812045254738,10.943603309438068
g,-18.653622178924877,-14.296080360462106,-7.1756214050313645,-23.457495389953024,7.805370364191242,15.131780493731863,19.38838723308824,-25.775456894203593
volumetric radius,-14.21325142366436,-10.936519975655642,-5.494234040854906,318.64590754341435,5.326525050486566,10.520048869492484,13.459804324489141,320.83967396371474
density,-132.41910707286945,-103.56378740358252,-54.05031164162358,993.084844555471,59.11668879885849,120.58951641242277,162.188154090618,988.7087182780074
delta mag,-0.025899108314323266,-0.020255107463082875,-0.010440074271512279,0.029879772369273052,0.009965852873335308,0.019881335604832923,0.026073590594398014,0.0315599371271861
u,-9.843687039390318,-7.420648018066231,-3.7494841731942756,330.4813186781385,3.9274775158293664,7.770763178179152,10.47343981873928,332.36670887234436
v,-22.044806974085645,-16.522923943954538,-8.552099692402749,303.950565132327,8.256701490348519,15.917826888615195,20.21027868354679,305.31405586270074
c/a,-0.10545954200022956,-0.0784207069804983,-0.03855063026894201,0.8800386425125082,0.0362172966881279,0.06659481031021364,0.08113438196165434,0.8741660174101332
b/a,-0.03215028817073873,-0.024203548749737958,-0.011886293763321842,0.9632946300016144,0.012745808701664973,0.02473713047331627,0.03173450136797773,0.9614399715809475
