Date,Location,Longitude,Latitude,Height,Start,Stop,Immersion,Emersion,Immersion error,Emersion error
"2017-01-21 03:09",Skalnate,20.233917,49.189389,1826,"2017-01-21 03:07:26.79","2017-01-21 03:11:24.56","2017-01-21 03:08:26.79","2017-01-21 03:10:24.56",0.96,0.8
"2017-01-21 03:09",Konkoly1m,19.894861,47.917111,935,"2017-01-21 03:07:20.30","2017-01-21 03:11:17.39","2017-01-21 03:08:20.30","2017-01-21 03:10:17.39",0.2,0.07
"2017-01-21 03:09",Konkoly0.6m,19.894861,47.917111,935,"2017-01-21 03:07:19.50","2017-01-21 03:11:16.40","2017-01-21 03:08:19.50","2017-01-21 03:10:16.40",0.8,1.3
"2017-01-21 03:09",Ondrejov,14.781472,49.908944,526,"2017-01-21 03:07:29.20","2017-01-21 03:11:12.20","2017-01-21 03:08:29.20","2017-01-21 03:10:12.20",0.8,0.8
"2017-01-21 03:09",Wendelstein2m,12.012222,47.703778,1838,"2017-01-21 03:07:27.90","2017-01-21 03:10:34.10","2017-01-21 03:08:27.90","2017-01-21 03:09:34.10",2.8,0.5
"2017-01-21 03:09",Wendelstein0.4m,12.012222,47.703778,1838,"2017-01-21 03:07:18.80","2017-01-21 03:10:38.60","2017-01-21 03:08:18.80","2017-01-21 03:09:38.60",6.0,6.0
"2017-01-21 03:09",Munich,11.606999,48.121999,538,"2017-01-21 03:07:30.00","2017-01-21 03:10:30.00","2017-01-21 03:08:30.00","2017-01-21 03:09:30.00",3.3,4.9
"2017-01-21 03:09",Asiago,11.568999,45.848583,1376,"2017-01-21 03:07:20.17","2017-01-21 03:10:13.27","2017-01-21 03:08:20.17","2017-01-21 03:09:13.27",0.08,1.5
"2017-01-21 03:09",SanMarcello,10.803889,44.064167,965,"2017-01-21 03:07:22.90","2017-01-21 03:09:42.80","2017-01-21 03:08:22.90","2017-01-21 03:08:42.80",0.9,0.9
"2017-01-21 03:09",Lajatico,10.717000,43.429083,433,"2017-01-21 03:07:19.90","2017-01-21 03:09:34.30","2017-01-21 03:08:19.90","2017-01-21 03:08:34.30",1.4,1.4
"2017-01-21 03:09",Agliale,"10 30 53.8","43 59 43.1",758,"2017-01-21 03:07:19.90","2017-01-21 03:09:34.30",,,,
